Nomer,IDKostumer,Nama,NilaiKredit,Provinsi,JenisKelamin,Umur,tenor,saldo,jumlahProduk,PunyaKartuKredit,NasabahAktif,PerkiraanPendapatan,TutupRekening
20,15568982,MARLEINA RISALDI B SH ,726,DKI Jakarta,Perempuan,24,6,0,2,1,1,5472403000,0
21,15577657,IMANIAR,732,DKI Jakarta,Perempuan,41,8,0,2,1,1,17088617000,0
22,15597945,MOH RIDWAN,636,Jawa Barat,Laki-Laki,32,8,0,2,1,0,13855546000,0
23,15699309,RUSMINIWATI MANSUR,510,Jawa Barat,Perempuan,38,4,0,1,1,0,11891353000,1
24,15725737,TIRMIDZI,669,DKI Jakarta,Laki-Laki,46,3,0,2,0,1,848775000,0
25,15625047,FAJAR HIDAYATI S PD,846,DKI Jakarta,Perempuan,38,5,0,1,1,1,18761616000,0
26,15738191,LIA SAFIRA,577,DKI Jakarta,Perempuan,25,3,0,2,0,1,12450829000,0
27,15736816,SUNAYA,756,Jawa Tengah,Perempuan,36,2,13681564000,1,1,1,17004195000,0
28,15700772,MARINEM,571,DKI Jakarta,Perempuan,44,9,0,2,0,0,3843335000,0
29,15728693,MUH RISYAD AKBAR,574,Jawa Tengah,Laki-Laki,43,3,14134943000,1,1,1,10018743000,0
30,15656300,REZA NOER ARIFIN,411,DKI Jakarta,Laki-Laki,29,0,5969717000,2,1,1,5348321000,0
31,15589475,WIERNA,591,Jawa Barat,Perempuan,39,3,0,3,1,0,14046938000,1
32,15706552,SIERA SIMIN,533,DKI Jakarta,Perempuan,36,7,853117000,1,0,1,15673191000,0
33,15750181,MUHAMAD YUSUF BAHARUDDIN S M ALA,553,Jawa Tengah,Laki-Laki,41,9,11011254000,2,0,0,8189881000,0
34,15659428,LEDD FRANCISCO,520,Jawa Barat,Laki-Laki,42,6,0,2,1,1,3441055000,0
35,15732963,JAMSUNI,722,Jawa Barat,Laki-Laki,29,9,0,2,1,1,14203307000,0
36,15794171,ABDUL RAHMAN,475,DKI Jakarta,Laki-Laki,45,0,13426404000,1,1,0,2782299000,1
37,15788448,LAURA BASUKI,490,Jawa Barat,Perempuan,31,3,14526023000,1,0,1,11406677000,0
38,15729599,RUMSANIH,804,Jawa Barat,Perempuan,33,7,765486000,1,0,1,9845345000,0
39,15717426,ADE SUNARIAH,850,DKI Jakarta,Perempuan,36,7,0,1,1,1,408129000,0
40,15585768,GITA SAFIERA TRIRANTI,582,Jawa Tengah,Perempuan,41,6,7034948000,2,0,1,17807404000,0
41,15619360,ANDRIS,472,Jawa Barat,Laki-Laki,40,4,0,1,1,0,7015422000,0
42,15738148,IDA ZUBAIDAH,465,DKI Jakarta,Perempuan,51,8,12252232000,1,0,0,18129765000,1
43,15687946,ASEP AGUS SUPRIYANTO,556,DKI Jakarta,Laki-Laki,61,2,11741935000,1,1,1,9415383000,0
44,15755196,JULIZAR AS,834,DKI Jakarta,Laki-Laki,49,2,13139456000,1,0,0,19436576000,1
45,15684171,WAJIYONO,660,Jawa Barat,Laki-Laki,61,5,15593111000,1,1,1,15833839000,0
46,15754849,SUTIYAH,776,Jawa Tengah,Perempuan,32,4,10942113000,2,1,1,12651746000,0
47,15602280,BEANA CHIARA MIDESYA,829,Jawa Tengah,Perempuan,27,9,11204567000,1,1,1,11970821000,1
48,15771573,MERLINA MARGARETHA,637,Jawa Tengah,Perempuan,39,9,1378438000,1,1,1,1176228000,1
49,15766205,WARINI,550,Jawa Tengah,Perempuan,38,2,10339138000,1,0,1,9087813000,0
50,15771873,MULYANAH M ,776,Jawa Tengah,Perempuan,37,2,10376922000,2,1,0,19409912000,0
51,15616550,ASLAM JUSUF HARABA,698,Jawa Tengah,Laki-Laki,44,10,11636337000,2,1,0,19805916000,0
52,15768193,ARIF BUCHORI,585,Jawa Tengah,Laki-Laki,36,5,14605097000,2,0,0,8642457000,0
53,15683553,HJ JAUMADINA,788,DKI Jakarta,Perempuan,33,5,0,2,0,0,11697819000,0
54,15702298,RUMSARI,655,Jawa Tengah,Perempuan,41,8,12556197000,1,0,0,16404094000,1
55,15569590,DORLAN NORMAIDA SIAGIAN,601,Jawa Tengah,Perempuan,42,1,9849572000,1,1,0,4001476000,1
56,15760861,ERIC CHANDRA,619,DKI Jakarta,Laki-Laki,43,1,12521192000,1,1,1,11341049000,0
57,15630053,NORMAN,656,DKI Jakarta,Laki-Laki,45,5,1278644000,1,1,0,8710757000,0
58,15647091,NY ISWATUN,725,Jawa Tengah,Perempuan,19,0,758882000,1,0,0,4561375000,0
59,15623944,ALEXANDER IVAN ANDWIKAPUTRA,511,Jawa Barat,Laki-Laki,66,4,0,1,1,0,164311000,1
60,15804771,SYLVIA ROSIDI,614,DKI Jakarta,Perempuan,51,4,4068592000,1,1,1,4677528000,0
61,15651280,SRI SURIPNI,742,Jawa Tengah,Perempuan,35,5,136857000,1,0,0,8450957000,0
62,15773469,TIA NOVIANTI,687,Jawa Tengah,Perempuan,27,9,15232888000,2,0,0,12649482000,0
63,15702014,KHODIJAH,555,Jawa Barat,Perempuan,33,1,5608469000,2,0,0,17879813000,0
64,15751208,RATNA SARI,684,Jawa Barat,Perempuan,56,8,7870716000,1,1,1,9939836000,0
65,15592461,JANTI BUDISULISTYO SH,603,Jawa Tengah,Perempuan,26,4,10916637000,1,1,1,9284067000,0
66,15789484,GENEVIEVE IRENE DEBORA S,751,Jawa Tengah,Perempuan,36,6,16983146000,2,1,1,2775836000,0
67,15696061,FRANCISCA KURNIA,581,Jawa Tengah,Perempuan,34,1,10163304000,1,1,0,11043151000,0
68,15641582,AUDY JOANA,735,Jawa Tengah,Perempuan,43,10,12318001000,2,1,1,19667328000,0
69,15638424,CATHERINE  KHO,661,Jawa Tengah,Perempuan,35,5,15072553000,2,0,1,11365685000,0
70,15755648,SEPTIAN KHAIRUDIN,675,DKI Jakarta,Laki-Laki,21,8,9837326000,1,1,0,18203000,0
71,15703793,SRI SUKARTI,738,Jawa Tengah,Perempuan,58,2,13374544000,4,1,0,2837386000,1
72,15620344,NYAMIN BIANTORO,813,DKI Jakarta,Laki-Laki,29,6,0,1,1,0,3395387000,0
73,15812518,RENDY RINALDY,657,Jawa Barat,Laki-Laki,37,0,16360718000,1,0,1,4420355000,0
74,15779052,LULU NURAINI,604,Jawa Tengah,Perempuan,25,5,15778084000,2,1,1,5842681000,0
75,15770811,DRS A EDDY KURNIA MM,519,DKI Jakarta,Laki-Laki,36,9,0,2,0,1,1455624000,0
76,15780961,INDRA IRAWAN,735,DKI Jakarta,Laki-Laki,21,1,17871819000,2,1,0,22388000,0
77,15614049,LIEM LINDA LAMBERT,664,DKI Jakarta,Perempuan,55,8,0,2,1,1,13916164000,0
78,15662085,AMIR HAMZAH,678,DKI Jakarta,Laki-Laki,32,9,0,1,1,1,14821064000,0
79,15575185,ANGGI YUANITA RACHMAT,757,Jawa Barat,Perempuan,33,5,7725322000,1,0,1,19423963000,0
80,15803136,DIONI SELA SETYOWARDANI,416,Jawa Tengah,Perempuan,41,10,12218966000,2,1,0,9830161000,0
81,15706021,INGRID WIBOWO,665,DKI Jakarta,Perempuan,34,1,9664554000,2,0,0,17141366000,0
82,15663706,ROSINTA SIREGAR,777,DKI Jakarta,Perempuan,32,2,0,1,1,0,13645819000,1
83,15641732,INDRA RENALDI,543,DKI Jakarta,Laki-Laki,36,3,0,2,0,0,2601959000,0
84,15701164,ADHI SUSATYO,506,DKI Jakarta,Laki-Laki,34,4,9030762000,1,1,1,15923529000,0
85,15738751,STEVEN WILLIAM HARRIS,493,DKI Jakarta,Perempuan,46,4,0,2,1,0,190766000,0
86,15805254,DIRGA EKA CAHYA,652,Jawa Barat,Laki-Laki,75,10,0,2,1,1,11467575000,0
87,15762418,AFRIZAL,750,Jawa Barat,Laki-Laki,22,3,12168182000,1,1,0,12864335000,1
88,15625759,KAMBRA NOFERI,729,DKI Jakarta,Laki-Laki,30,9,0,2,1,0,15186935000,0
89,15622897,SYAIFUL ANWAR,646,DKI Jakarta,Laki-Laki,46,4,0,3,1,0,9325142000,1
90,15767954,YAYUK MULYATI,635,Jawa Tengah,Perempuan,28,3,8162367000,2,1,1,15679136000,0
91,15757535,HADIDJAH BIN MINAN,647,Jawa Barat,Perempuan,44,5,0,3,1,1,17420522000,1
92,15731511,SITI ZULAIKHA,808,DKI Jakarta,Perempuan,45,7,11862655000,2,1,0,14713246000,0
93,15809248,DAAN HALIM,524,DKI Jakarta,Laki-Laki,36,10,0,2,1,0,10961457000,0
94,15640635,DANARDONO,769,DKI Jakarta,Laki-Laki,29,8,0,2,1,1,17229061000,0
95,15676966,JAMES O WAHI,730,Jawa Barat,Laki-Laki,42,4,0,2,0,1,8598247000,0
96,15699461,TIRTA JANUARDI,515,Jawa Barat,Laki-Laki,35,10,17627395000,1,0,1,12127778000,0
97,15738721,MULYADI,773,Jawa Barat,Laki-Laki,41,9,10282744000,1,0,1,6459525000,0
98,15693683,NIA KURNIATI,814,Jawa Tengah,Perempuan,29,8,970864000,2,1,1,19727613000,0
99,15604348,DENNY ROFINATA,710,Jawa Barat,Laki-Laki,22,8,0,2,0,0,9964504000,0
100,15633059,KRISTINAWATI TOLI,413,DKI Jakarta,Perempuan,34,9,0,2,0,0,653418000,0
101,15808582,ZAKIAH,665,DKI Jakarta,Perempuan,40,6,0,1,1,1,16184803000,0
102,15743192,NIKO AGIT PRASTIYO,623,DKI Jakarta,Laki-Laki,44,6,0,2,0,0,16716243000,0
103,15580146,DESWARDHANY YUSUF,738,DKI Jakarta,Perempuan,31,9,8267415000,1,1,0,4197072000,0
104,15776605,FAUZAN RAMADHAN,528,Jawa Barat,Laki-Laki,36,7,0,2,1,0,6053656000,0
105,15804919,TUTI SUWARTI,670,Jawa Barat,Perempuan,65,1,0,1,1,1,17765568000,1
106,15613854,SUGIANTO ALEXCHANDRA,622,Jawa Barat,Laki-Laki,46,4,10707327000,2,1,1,3098459000,1
107,15599195,SRIYATI,582,Jawa Tengah,Perempuan,32,1,8893862000,1,1,1,1005453000,0
108,15812878,DJUWARNI,785,Jawa Tengah,Perempuan,36,2,9980685000,1,0,1,3697652000,0
109,15602312,DRA TATY FATMAH JUWONO,605,Jawa Barat,Perempuan,33,5,1500928000,1,0,0,7186279000,0
110,15744689,JEFFREY WIJAYA CHENDRA,479,Jawa Tengah,Laki-Laki,35,9,9283389000,1,1,0,9944986000,1
111,15803526,INDRA GUNAWAN,685,Jawa Tengah,Laki-Laki,30,3,9053681000,1,0,1,6308288000,0
112,15665790,RODIAH,538,Jawa Tengah,Perempuan,39,7,1080551000,2,1,0,2723126000,0
113,15715951,TRI JOKO WALUYO,562,DKI Jakarta,Laki-Laki,42,2,10023835000,1,0,0,8679741000,0
114,15591100,WALID PRIAMBODO,675,Jawa Barat,Laki-Laki,36,9,10619055000,1,0,1,2299432000,0
115,15609618,MAULANA,721,Jawa Tengah,Laki-Laki,28,9,15447554000,2,0,1,10130094000,1
116,15675522,AYUNI ROMYN,628,Jawa Tengah,Perempuan,30,9,13235129000,2,1,1,7416913000,0
117,15705512,JOE TJOE TJONG,668,Jawa Tengah,Laki-Laki,37,6,1678644000,1,1,0,11563829000,0
118,15698028,M IQBAL TAWAKKAL,506,DKI Jakarta,Laki-Laki,41,1,0,2,1,0,317663000,0
119,15661670,ANA LESTARI BUDIARTI,524,Jawa Tengah,Perempuan,31,8,10781863000,1,1,0,19972539000,1
120,15600781,EKA LISTIANAWATI,699,Jawa Tengah,Perempuan,34,4,18517381000,2,1,0,12083448000,0
121,15682472,EDO KISARA GABRIEL,828,DKI Jakarta,Laki-Laki,34,8,12943334000,2,0,0,3813177000,0
122,15580203,EGA AYU LESTARI,674,Jawa Barat,Perempuan,39,6,12019342000,1,0,0,10013095000,0
123,15690673,HAUW SOAT TJENG,656,DKI Jakarta,Perempuan,39,6,0,2,1,0,14106988000,0
124,15760085,ISTIAWATI,684,Jawa Tengah,Perempuan,48,10,12638442000,1,1,1,19812936000,0
125,15779659,DRS HERMAN LUKMAN,625,DKI Jakarta,Laki-Laki,28,3,0,1,0,0,18364641000,0
126,15627360,AGUSTINA IKAWATI,432,DKI Jakarta,Perempuan,42,9,15260345000,1,1,0,11026524000,1
127,15671137,JUHADI,549,DKI Jakarta,Laki-Laki,52,1,0,1,0,1,863605000,1
128,15782688,M U B I N,625,Jawa Tengah,Laki-Laki,56,0,14850724000,1,1,0,4682408000,1
129,15575492,HERMAN,828,DKI Jakarta,Laki-Laki,41,7,0,2,1,0,17137877000,0
130,15591607,NOVITA SARI,770,DKI Jakarta,Perempuan,24,9,10182707000,1,1,0,16725635000,0
131,15740404,RETNO AJENG SAPUTRI,758,DKI Jakarta,Perempuan,34,3,0,2,1,1,12422616000,0
132,15718369,SUPRIYATI W,795,Jawa Tengah,Perempuan,33,9,13086243000,1,1,1,11493521000,0
133,15677871,ELLISSA PRIYANKA,687,DKI Jakarta,Perempuan,38,9,12257087000,1,1,1,3560888000,0
134,15642004,RATNA DAMAYANTI SANTOSO,686,DKI Jakarta,Perempuan,25,1,0,2,0,1,1645937000,0
135,15712543,MARSINAH,789,Jawa Tengah,Perempuan,39,7,12482846000,2,1,1,12441108000,0
136,15584518,ENI DWI YANTI,589,Jawa Tengah,Perempuan,50,5,14489505000,2,1,1,3494123000,0
137,15802381,DWI AGUS BUDIONO,461,Jawa Tengah,Laki-Laki,34,5,6366393000,1,0,1,16778428000,0
138,15610156,SETYAWAN SURYANTO,637,DKI Jakarta,Laki-Laki,40,2,1334631000,1,0,1,9316534000,0
139,15594408,HERMAN,584,Jawa Barat,Laki-Laki,48,2,2131462000,1,1,0,7516125000,1
140,15640905,MOHAMMAD CHOLIL,579,Jawa Barat,Laki-Laki,35,1,12949036000,2,0,1,859083000,1
141,15698932,RIKA ANDESTA,756,Jawa Tengah,Perempuan,44,10,13745209000,1,1,0,1895439000,0
142,15724944,AGIS GILANG SETIAWAN,663,DKI Jakarta,Laki-Laki,34,7,0,2,1,1,18042724000,0
143,15628145,TUTI ALAWIYAH,682,DKI Jakarta,Perempuan,43,5,12585193000,1,1,1,19331833000,0
144,15713483,DEDI ROJIK,793,Jawa Barat,Laki-Laki,52,2,0,1,1,0,15912382000,1
145,15612350,SIT`IN FERASANI,691,DKI Jakarta,Perempuan,31,5,4091555000,1,1,0,12621384000,1
146,15800703,MUHAMAD HAERUL SANI,485,Jawa Barat,Laki-Laki,21,5,11315722000,1,1,1,541415000,0
147,15705707,DAMIR B SAYAR,635,Jawa Barat,Laki-Laki,29,8,13829694000,2,1,0,14107551000,0
148,15754105,RAFI IDAMAN MANSOER,650,DKI Jakarta,Laki-Laki,37,5,10696718000,1,0,0,2449503000,0
149,15703264,SOEJATNO SOEKIDJO,735,DKI Jakarta,Laki-Laki,44,9,12068163000,1,1,0,7483634000,0
150,15794413,IRAWANSYAH PUTRA,416,DKI Jakarta,Laki-Laki,32,0,0,2,0,1,87887000,0
151,15650237,ALIYAH,754,Jawa Barat,Perempuan,32,7,0,2,1,0,8952075000,0
152,15759618,KUNI SUGIHMURNI,535,DKI Jakarta,Perempuan,48,9,0,1,1,0,14989279000,1
153,15811589,MERI,716,Jawa Barat,Perempuan,42,8,0,2,1,0,18080042000,0
154,15689044,ASELIH BIN GERING,539,DKI Jakarta,Laki-Laki,37,2,12760959000,1,1,0,9864622000,0
155,15709368,RANI FAUZIAH,614,DKI Jakarta,Perempuan,43,6,0,2,1,1,10904153000,0
156,15679145,IR  MOCHAMAD SAID,706,Jawa Barat,Laki-Laki,57,7,0,1,1,0,1794116000,1
157,15655007,MULYADI,758,DKI Jakarta,Laki-Laki,33,7,0,2,0,0,8299647000,0
158,15623595,DENI HERMANSYAH,586,Jawa Barat,Laki-Laki,28,2,0,2,1,1,9206735000,0
159,15589975,R ERTI HADIYATI  SH,646,DKI Jakarta,Perempuan,73,6,9725925000,1,0,1,10471966000,0
160,15804017,SARTI RETNOWATI,631,Jawa Tengah,Perempuan,33,4,1232467000,1,0,0,11268757000,0
161,15692132,YUVENALIS GEA,717,Jawa Barat,Laki-Laki,22,6,10106025000,1,0,1,8469956000,0
162,15641122,MISWARSI,684,DKI Jakarta,Perempuan,30,2,0,2,1,0,8347382000,0
163,15630910,RANGGA SAP[UTRA PRATAMA,800,DKI Jakarta,Laki-Laki,49,7,10800736000,1,0,0,4712511000,0
164,15680772,MIFTAH,721,Jawa Barat,Perempuan,36,2,0,2,1,1,1069778000,0
165,15658929,ARIYANTO SETIAWAN,683,Jawa Barat,Laki-Laki,29,0,13370289000,1,1,0,5558254000,1
166,15585388,NOER FITRIANTO PRIYO HUTOMO,660,Jawa Tengah,Laki-Laki,31,9,12518975000,2,1,1,13987443000,0
167,15724623,R  HADI MURHANDANU SE,704,Jawa Tengah,Laki-Laki,24,7,11303422000,1,1,0,16250348000,1
168,15588537,JUWAIRIYAH MURDIN,615,Jawa Barat,Perempuan,41,9,10901323000,1,1,0,19649996000,0
169,15574692,JUWARIYAH,667,Jawa Barat,Perempuan,39,2,0,2,1,0,4072124000,1
170,15611325,NURHAYATI,682,Jawa Tengah,Perempuan,24,9,5792981000,2,0,0,531343000,0
171,15587562,BUNYANAH,484,DKI Jakarta,Perempuan,29,4,13011439000,1,1,0,16401789000,0
172,15613172,RR REVIANTI WIDYA A SSN,628,Jawa Tengah,Perempuan,27,5,9582649000,2,1,0,15599696000,0
173,15651022,RIO PRAHARA,480,Jawa Tengah,Laki-Laki,44,10,12960857000,1,1,0,54727000,1
174,15586310,YOGI ARIEF WIWEKA,578,DKI Jakarta,Laki-Laki,30,4,16946209000,1,1,0,11218711000,0
175,15625524,STEFANUS JONATHAN,512,DKI Jakarta,Laki-Laki,40,5,0,2,1,1,14645783000,0
176,15755209,RIZKI PRAMITA RAMADHINI,484,Jawa Barat,Perempuan,35,7,13386821000,1,1,1,272861000,0
177,15645248,AGUS HERMAWAN,510,DKI Jakarta,Laki-Laki,30,0,0,2,1,1,13055347000,0
178,15790355,KOMARIAH,606,Jawa Tengah,Perempuan,36,5,19047948000,2,0,0,17935189000,0
179,15762615,ROKHATININGSIH,597,Jawa Barat,Perempuan,40,8,10199312000,1,0,1,9477412000,0
180,15625426,SITI FATIMAH,754,Jawa Tengah,Perempuan,55,3,16160881000,1,1,0,808085000,1
181,15716334,BADRIYAH,850,Jawa Barat,Perempuan,45,2,12231121000,1,1,1,194825000,0
182,15789669,SUDIARTI,510,DKI Jakarta,Perempuan,65,2,0,2,1,1,4807161000,0
183,15621075,NURJANAH,778,Jawa Tengah,Perempuan,45,1,16215042000,2,1,0,17453127000,0
184,15810845,M YUSUF,636,DKI Jakarta,Laki-Laki,42,2,0,2,1,1,5547078000,0
185,15719377,DANDI HAMBALI,804,DKI Jakarta,Laki-Laki,50,4,0,1,1,1,854687000,1
186,15654506,RADHAR HASTI HANDAJANI,514,DKI Jakarta,Perempuan,32,8,0,2,1,0,9585718000,0
187,15771977,DWI NOVIANI,730,DKI Jakarta,Perempuan,39,1,9901067000,1,1,0,1949458000,0
188,15708710,SUPARDI GULTOM,525,Jawa Barat,Laki-Laki,37,0,0,1,0,1,13152172000,0
189,15726676,NUR NOVITA ANGGRAENI,616,Jawa Barat,Perempuan,30,5,0,2,0,1,19610851000,0
190,15587421,SAPRIZAL,687,Jawa Tengah,Laki-Laki,34,7,11138818000,2,1,0,14856476000,0
191,15726931,NANA WIATNA,715,DKI Jakarta,Laki-Laki,41,8,5621485000,2,0,0,9298261000,1
192,15771086,YERRI DWI LESTIANTO,512,DKI Jakarta,Laki-Laki,36,3,8432777000,2,1,0,1767536000,0
193,15756850,MARPUAH,479,DKI Jakarta,Perempuan,40,1,0,2,0,0,11499643000,0
194,15702741,SUZIE HARJANTO,601,DKI Jakarta,Perempuan,32,8,9301289000,1,1,0,8695742000,0
195,15679200,MURIANI SABILA,580,Jawa Barat,Perempuan,29,9,6171044000,2,1,0,1280778000,0
196,15594815,ROYA,807,DKI Jakarta,Perempuan,35,3,17479015000,1,1,1,60036000,0
197,15635905,PUDJI ASTUTI DHARMAKADAR,616,Jawa Barat,Perempuan,32,6,0,2,1,1,4300146000,0
198,15777892,EDWARD JOURDAN SATRIO,721,Jawa Tengah,Laki-Laki,37,3,10772064000,1,1,1,15859112000,0
199,15656176,HARJON PANDIANGAN,501,DKI Jakarta,Laki-Laki,57,10,0,2,1,1,4784719000,0
200,15811127,J PRIHADIJANTO,521,DKI Jakarta,Laki-Laki,35,6,9642384000,1,1,0,1048844000,0
201,15604482,SAMUEL DAVIDSON HASAN,850,Jawa Barat,Laki-Laki,30,2,14104001000,1,1,1,59782000,0
202,15622911,FONG FELIX,759,DKI Jakarta,Laki-Laki,42,4,10542018000,1,0,1,12140906000,0
203,15600974,WATININGSIH,516,Jawa Barat,Perempuan,50,5,0,1,0,1,14614593000,1
204,15727868,IR S ROHANA SIREGAR,711,DKI Jakarta,Perempuan,38,2,12902206000,2,1,1,1437486000,1
205,15627801,DRA IRIANA MOKA,512,Jawa Barat,Perempuan,33,3,17666662000,1,1,0,9467077000,0
206,15773039,W HARYO SUSANTO,550,DKI Jakarta,Laki-Laki,37,3,0,1,1,1,17967031000,0
207,15755262,HADIDJAH,608,Jawa Barat,Perempuan,41,3,8976384000,1,0,0,19930474000,1
208,15679531,PUTRI ANJANI,618,DKI Jakarta,Perempuan,34,5,13495453000,1,1,1,15195439000,0
209,15684181,DRS AMANAN,643,DKI Jakarta,Laki-Laki,45,5,0,1,1,0,1425135000,1
210,15612087,R HIDAYATULLAH,671,DKI Jakarta,Laki-Laki,45,2,10637685000,1,0,1,15826462000,0
211,15752047,DRG DINA INDIRAWATI,689,Jawa Tengah,Perempuan,33,2,16181464000,2,1,0,1693819000,0
212,15624592,RR ARUNA INDIRA MAYA P,603,DKI Jakarta,Perempuan,31,8,0,2,1,1,16991502000,0
213,15573152,SUBHY SHALIH,620,DKI Jakarta,Laki-Laki,41,9,0,2,0,0,8885247000,0
214,15594917,RAMSAH,676,DKI Jakarta,Perempuan,34,1,6309501000,1,1,1,4064581000,0
215,15785542,SAKIYONO,572,Jawa Tengah,Laki-Laki,26,4,11828701000,2,0,0,604273000,0
216,15723488,ALVIN ALDIANSYAH ARDAN,668,Jawa Tengah,Laki-Laki,47,7,10685421000,1,0,1,15795902000,1
217,15680920,FELICIA AMANDA KURNIA,695,DKI Jakarta,Perempuan,46,7,4951255000,1,1,0,13300734000,0
218,15786308,ALDHI YUDISTIRA,730,Jawa Barat,Laki-Laki,33,9,0,2,0,0,17657662000,0
219,15659366,MARIA A PAKPAHAN,807,DKI Jakarta,Perempuan,43,1,10579932000,2,1,0,3488804000,1
220,15774854,SUGENG,592,DKI Jakarta,Laki-Laki,54,8,0,1,1,1,2873771000,1
221,15725311,RATNA SARI,726,DKI Jakarta,Perempuan,31,9,11472205000,2,1,1,9817857000,0
222,15787155,SUMIATI HASAN,514,Jawa Barat,Perempuan,30,7,0,1,0,1,12501024000,0
223,15727829,MUNIRI,567,DKI Jakarta,Laki-Laki,42,2,0,2,1,1,16798461000,0
224,15733247,JAKA ABYASA,850,DKI Jakarta,Laki-Laki,33,10,0,1,1,0,486172000,1
225,15568748,APRIANA KRISTYANTI,671,Jawa Tengah,Perempuan,45,6,9956422000,1,1,1,10887245000,1
226,15699029,DR ACHMAD FAISAL,670,DKI Jakarta,Laki-Laki,37,4,17055791000,2,1,0,19825288000,0
227,15774393,SUTJIATI R,694,DKI Jakarta,Perempuan,30,9,0,2,1,1,2696031000,0
228,15676895,ERNIE SETIAWATI,547,Jawa Tengah,Perempuan,39,6,7459615000,3,1,1,8574652000,1
229,15637753,DONI PRAMONO,751,Jawa Tengah,Laki-Laki,50,2,9688839000,1,1,0,7720625000,1
230,15605461,RASHA ALWAHDY,594,Jawa Tengah,Perempuan,29,3,13083022000,1,1,0,6104853000,0
231,15808473,ASTRID SUTANTO,673,DKI Jakarta,Perempuan,72,1,0,2,0,1,11198119000,0
232,15627000,NAHROJIH,610,DKI Jakarta,Laki-Laki,40,0,0,2,1,0,622326000,0
233,15787174,TM ZAHIRSYAH SH ,512,DKI Jakarta,Laki-Laki,37,1,0,2,0,1,15610503000,0
234,15723886,PERMAS DEWANGI,767,Jawa Tengah,Perempuan,20,3,11971425000,2,0,1,15013538000,0
235,15704769,RIFALDIE MUHAMMAD,585,DKI Jakarta,Laki-Laki,67,5,11397897000,2,0,1,9314611000,0
236,15772896,MAHARDI TJAHYADI,763,Jawa Tengah,Laki-Laki,42,6,10016075000,1,1,0,3346294000,1
237,15711540,M HERSA ANGGA NYOVONSA,712,DKI Jakarta,Laki-Laki,29,2,0,1,1,1,144375000,0
238,15764866,KARINA VANESSA,539,Jawa Tengah,Perempuan,43,3,1162205000,3,1,0,5580396000,1
239,15794056,ROHMANI,668,DKI Jakarta,Perempuan,46,2,0,3,1,0,8904846000,1
240,15795149,NY ANNE KENCANA NURWATI,703,DKI Jakarta,Perempuan,28,2,8117383000,2,0,1,16281216000,0
241,15812009,DJURIAH BT RUSTAM,662,Jawa Barat,Perempuan,38,4,0,2,1,0,13625965000,0
242,15651001,KHOIRUL ANAM,725,Jawa Tengah,Laki-Laki,39,5,1168038000,1,1,0,12405297000,0
243,15813844,JULIANA HALIM,703,DKI Jakarta,Perempuan,37,8,10596168000,2,0,1,741588000,0
244,15596175,AMIR MAYZARDIN,659,Jawa Tengah,Laki-Laki,67,6,1174116000,1,1,1,4507109000,1
245,15576269,REYTA,523,Jawa Barat,Perempuan,34,7,0,2,1,0,6203006000,0
